Nr_ucz.	Dzien	Miesiac	Rok	M_urodzenia	Wojewodztwo
9201	1	3	83	Gdańsku	pomorskie
9202	3	5	82	Gdańsku	pomorskie
9211	14	9	82	Gdańsku	pomorskie
9217	28	9	82	Gdańsku	pomorskie
9224	3	2	82	Gdańsku	pomorskie
9231	7	7	82	Gdańsku	pomorskie
9233	24	2	82	Dąbrowie Białostockiej	podlaskie
9234	10	8	82	Gdańsku	pomorskie
9241	16	11	82	Gdańsku	pomorskie
9248	22	6	82	Gdańsku	pomorskie
9254	6	1	82	Gdańsku	pomorskie
9257	27	11	82	Gdańsku	pomorskie
9265	7	12	82	Gdańsku	pomorskie
9291	9	11	82	Gdańsku	pomorskie
9299	8	1	82	Międzyrzecu Podlaskim	podlaskie
9311	11	9	82	Gdańsku	pomorskie
9327	5	5	82	Gdańsku	pomorskie
9343	14	10	82	Gdańsku	pomorskie
9353	15	5	82	Gdańsku	pomorskie
9370	7	11	82	Gdańsku	pomorskie
9386	26	11	82	Gdańsku	pomorskie
9416	20	1	82	Gdańsku	pomorskie
9421	27	7	82	Gdańsku	pomorskie
9430	17	1	82	Gdańsku	pomorskie
9437	25	8	82	Gdańsku	pomorskie
9457	9	7	82	Gdańsku	pomorskie
9473	29	7	82	Gdańsku	pomorskie
9478	8	8	82	Gdańsku	pomorskie
9481	13	1	82	Gdańsku	pomorskie
9483	23	2	82	Gdańsku	pomorskie
9486	1	12	82	Gdańsku	pomorskie
9494	15	4	82	Gdańsku	pomorskie
9504	8	3	84	Gdańsku	pomorskie
9551	29	11	83	Gdańsku	pomorskie
9562	25	8	83	Pruszczu Gdańskim	pomorskie
9566	27	1	83	Gdańsku	pomorskie
9567	27	5	83	Gdańsku	pomorskie
9568	21	11	83	Gdańsku	pomorskie
9575	22	3	83	Gdańsku	pomorskie
9593	4	12	83	Wrocławiu	dolnośląskie
9595	30	8	83	Gdańsku	pomorskie
9605	18	10	83	Gdańsku	pomorskie
9607	25	8	83	Gdańsku	pomorskie
9611	4	2	83	Pruszczu Gdańskim	pomorskie
9614	21	10	83	Gdańsku	pomorskie
9621	22	11	83	Gdańsku	pomorskie
9643	3	3	83	Gdańsku	pomorskie
9644	23	3	83	Gdańsku	pomorskie
9645	23	4	83	Gdańsku	pomorskie
9649	5	6	83	Gdańsku	pomorskie
9651	22	1	83	Gdańsku	pomorskie
9682	14	1	83	Gdańsku	pomorskie
9699	1	12	83	Gdańsku	pomorskie
9705	15	7	83	Sycowiu	dolnośląskie
9708	9	8	83	Gdańsku	pomorskie
9710	9	2	83	Gdańsku	pomorskie
9714	27	4	83	Pruszczu Gdańskim	pomorskie
9716	7	7	83	Gdańsku	pomorskie
9745	20	6	83	Gdańsku	pomorskie
9749	14	7	83	Gdańsku	pomorskie
9751	25	2	83	Sokółce	pomorskie
9754	24	8	83	Gdańsku	pomorskie
9770	27	10	83	Gdańsku	pomorskie
9779	17	9	83	Gdańsku	pomorskie
9788	7	3	83	Pruszczu Gdańskim	pomorskie
9802	9	5	82	Gdańsku	pomorskie
9802	13	3	84	Gdańsku	pomorskie
9804	5	11	84	Gdańsku	pomorskie
9805	12	10	84	Gdańsku	pomorskie
9806	6	12	84	Gdańsku	pomorskie
9810	20	2	84	Gdańsku	pomorskie
9811	11	6	84	Gdańsku	pomorskie
9812	28	5	84	Gdańsku	pomorskie
9818	14	4	84	Gdańsku	pomorskie
9819	10	5	84	Gdańsku	pomorskie
9824	10	10	84	Gdańsku	pomorskie
9825	12	11	84	Gdańsku	pomorskie
9826	16	11	84	Gdańsku	pomorskie
9829	28	7	84	Zamościu	lubelskie
9830	1	7	84	Gdańsku	pomorskie
9831	23	3	84	Gdańsku	pomorskie
9832	11	5	84	Gdańsku	pomorskie
9833	4	7	84	Gdańsku	pomorskie
9836	3	4	84	Gdańsku	pomorskie
9840	15	1	85	Gdańsku	pomorskie
9842	14	5	84	Łapach	podlaskie
9844	3	2	84	Gdańsku	pomorskie
9845	9	10	84	Gdańsku	pomorskie
9848	26	1	84	Gdańsku	pomorskie
9852	9	2	84	Gdańsku	pomorskie
9854	2	7	84	Gdańsku	pomorskie
9856	31	3	84	Gdańsku	pomorskie
9858	2	1	85	Gdańsku	pomorskie
9859	24	5	84	Gdańsku	pomorskie
9860	8	3	84	Siemiatyczach	podlaskie
9867	29	10	84	Gdańsku	pomorskie
9870	20	10	84	Gdańsku	pomorskie
9871	30	4	84	Tychach	śląskie
9873	9	10	84	Gdańsku	pomorskie
9876	17	8	84	Gdańsku	pomorskie
9877	11	2	84	Gdańsku	pomorskie
9878	3	7	84	Gdańsku	pomorskie
9883	1	1	84	Gdańsku	pomorskie
9884	11	2	84	Gdańsku	pomorskie
9885	2	7	84	Gdańsku	pomorskie
9887	13	10	84	Gdańsku	pomorskie
9888	3	8	84	Gdańsku	pomorskie
9889	5	6	84	Gdańsku	pomorskie
9891	15	7	84	Gdańsku	pomorskie
9892	17	7	84	Gdańsku	pomorskie
9893	7	2	84	Gdańsku	pomorskie
9894	29	6	84	Gdańsku	pomorskie
9899	19	8	84	Gdańsku	pomorskie
9901	29	1	84	Gdańsku	pomorskie
9903	26	10	84	Gdańsku	pomorskie
9905	28	2	84	Gdańsku	pomorskie
9907	15	9	84	Gdańsku	pomorskie
9909	28	9	84	Gdańsku	pomorskie
9910	12	6	84	Gdańsku	pomorskie
9911	30	12	84	Gdańsku	pomorskie
9912	22	11	84	Gdańsku	pomorskie
9913	27	9	84	Łapach	pomorskie
9916	18	8	84	Otwocku	mazowieckie
9918	15	2	84	Gdańsku	pomorskie
9920	24	7	84	Gdańsku	pomorskie
9924	9	7	84	Gdańsku	pomorskie
9925	15	9	84	Gdańsku	pomorskie
