Id_oceny,Data,Id_ucznia,id_przedmiotu,Ocena
7974,2014-11-10,883/2014,27,6
13184,2014-12-18,874/2014,27,6
6702,2014-10-31,873/2014,27,6
8783,2014-11-14,861/2014,27,6
2996,2014-10-03,836/2014,27,6
10267,2014-11-26,836/2014,27,6
11582,2014-12-05,833/2014,27,6
1055,2014-09-22,829/2014,27,6
8281,2014-11-12,796/2014,27,6
3882,2014-10-10,795/2014,27,6
8215,2014-11-12,783/2014,27,6
5809,2014-10-24,774/2014,27,6
7488,2014-11-06,772/2014,27,6
4959,2014-10-17,755/2014,27,6
11932,2014-12-09,745/2014,27,6
5024,2014-10-20,737/2014,27,6
9627,2014-11-21,721/2014,27,6
2542,2014-10-01,701/2014,27,6
3977,2014-10-10,480/2012,27,6
9693,2014-11-21,459/2012,27,6
10431,2014-11-27,391/2012,27,6
11563,2014-12-05,341/2012,27,6
4950,2014-10-17,322/2012,27,6
1441,2014-09-23,306/2012,27,6
9250,2014-11-19,275/2012,27,6
3648,2014-10-08,884/2014,27,5
5143,2014-10-20,884/2014,27,5
2553,2014-10-01,883/2014,27,5
12194,2014-12-10,883/2014,27,5
6709,2014-10-31,879/2014,27,5
2687,2014-10-01,877/2014,27,5
39,2014-09-15,871/2014,27,5
1696,2014-09-24,867/2014,27,5
4616,2014-10-16,867/2014,27,5
6204,2014-10-28,865/2014,27,5
10678,2014-11-28,855/2014,27,5
11313,2014-12-04,854/2014,27,5
3524,2014-10-08,849/2014,27,5
6478,2014-10-30,849/2014,27,5
3060,2014-10-03,848/2014,27,5
3665,2014-10-09,845/2014,27,5
4458,2014-10-15,845/2014,27,5
5906,2014-10-27,843/2014,27,5
10936,2014-12-02,839/2014,27,5
8282,2014-11-12,833/2014,27,5
2897,2014-10-02,830/2014,27,5
4827,2014-10-17,830/2014,27,5
1003,2014-09-22,827/2014,27,5
7391,2014-11-05,827/2014,27,5
3669,2014-10-09,823/2014,27,5
3217,2014-10-06,821/2014,27,5
8272,2014-11-12,817/2014,27,5
10134,2014-11-26,817/2014,27,5
4566,2014-10-15,813/2014,27,5
1533,2014-09-24,812/2014,27,5
6303,2014-10-29,812/2014,27,5
8448,2014-11-13,809/2014,27,5
7819,2014-11-10,805/2014,27,5
2307,2014-09-29,801/2014,27,5
321,2014-09-16,795/2014,27,5
817,2014-09-19,792/2014,27,5
10587,2014-11-28,790/2014,27,5
684,2014-09-18,787/2014,27,5
4951,2014-10-17,783/2014,27,5
12887,2014-12-17,779/2014,27,5
7433,2014-11-06,777/2014,27,5
8038,2014-11-11,777/2014,27,5
4589,2014-10-16,774/2014,27,5
7558,2014-11-06,774/2014,27,5
9513,2014-11-20,765/2014,27,5
5457,2014-10-22,764/2014,27,5
4374,2014-10-14,761/2014,27,5
2604,2014-10-01,756/2014,27,5
458,2014-09-17,755/2014,27,5
7132,2014-11-04,752/2014,27,5
4375,2014-10-14,746/2014,27,5
5020,2014-10-20,739/2014,27,5
8782,2014-11-14,736/2014,27,5
1132,2014-09-22,735/2014,27,5
12414,2014-12-12,729/2014,27,5
4169,2014-10-13,727/2014,27,5
5721,2014-10-24,723/2014,27,5
1220,2014-09-23,721/2014,27,5
5524,2014-10-22,720/2014,27,5
9716,2014-11-21,718/2014,27,5
12521,2014-12-12,718/2014,27,5
10595,2014-11-28,717/2014,27,5
12222,2014-12-11,715/2014,27,5
4028,2014-10-13,711/2014,27,5
10099,2014-11-25,711/2014,27,5
8387,2014-11-13,705/2014,27,5
3224,2014-10-06,702/2014,27,5
7469,2014-11-06,702/2014,27,5
7289,2014-11-05,690/2013,27,5
10389,2014-11-27,680/2013,27,5
1216,2014-09-23,668/2013,27,5
9615,2014-11-21,658/2013,27,5
10427,2014-11-27,636/2013,27,5
9541,2014-11-20,614/2013,27,5
11727,2014-12-08,592/2013,27,5
10207,2014-11-26,570/2013,27,5
9931,2014-11-24,548/2013,27,5
1628,2014-09-24,526/2013,27,5
7231,2014-11-04,503/2012,27,5
9789,2014-11-24,497/2012,27,5
5064,2014-10-20,493/2012,27,5
11196,2014-12-03,493/2012,27,5
5112,2014-10-20,484/2012,27,5
611,2014-09-18,476/2012,27,5
5593,2014-10-23,471/2012,27,5
441,2014-09-17,449/2012,27,5
1653,2014-09-24,449/2012,27,5
6134,2014-10-28,447/2012,27,5
12661,2014-12-15,441/2012,27,5
12351,2014-12-11,431/2012,27,5
3402,2014-10-07,428/2012,27,5
7008,2014-11-03,427/2012,27,5
735,2014-09-18,409/2012,27,5
762,2014-09-18,405/2012,27,5
4713,2014-10-16,401/2012,27,5
6554,2014-10-30,397/2012,27,5
1032,2014-09-22,390/2012,27,5
